,Time_s,Speaker,Probability,Country,Gender
0,70,Jeremy Shada,0.29195133,USA,m
1,70,Steve Carell,0.15760352,USA,m
2,70,Harry Shum Jr.,0.1032915,USA,m
0,71,Steve Carell,0.28209364,USA,m
1,71,James Woods,0.15437199,USA,m
2,71,Seth Meyers,0.1410929,USA,m
0,72,Kal Penn,0.42115465,USA,m
1,72,Mandy Patinkin,0.09724987,USA,m
2,72,John Lloyd Young,0.09193973,USA,m
0,73,John Lloyd Young,0.18378966,USA,m
1,73,Joseph Gordon-Levitt,0.14106506,USA,m
2,73,Rob Corddry,0.13742588,USA,m
0,74,Julie Chen,0.42851755,USA,f
1,74,Joseph Gordon-Levitt,0.10298338,USA,m
2,74,John Lloyd Young,0.09176733,USA,m
0,75,Steven Yeun,0.22663663,USA,m
1,75,Joseph Gordon-Levitt,0.16958702,USA,m
2,75,Julie Chen,0.10383864,USA,f
0,76,Steve Carell,0.4216095,USA,m
1,76,Steven Yeun,0.05823728,USA,m
2,76,Tim Minchin,0.05434297,Australia,m
0,77,Steve Carell,0.7478527,USA,m
1,77,Steven Yeun,0.06387161,USA,m
2,77,Jack Lemmon,0.017126886,USA,m
0,78,Steve Carell,0.83669126,USA,m
1,78,Julie Chen,0.019842006,USA,f
2,78,Steven Yeun,0.0128696235,USA,m
0,79,Kate Walsh,0.29549393,USA,f
1,79,Quentin Tarantino,0.15480435,USA,m
2,79,Katey Sagal,0.050318446,USA,f
0,80,Quentin Tarantino,0.25875106,USA,m
1,80,Kate Walsh,0.23786987,USA,f
2,80,Suraj Sharma,0.06867467,India,m
0,81,Zach Galifianakis,0.23643377,USA,m
1,81,Kate Walsh,0.2074766,USA,f
2,81,Quentin Tarantino,0.12583174,USA,m
0,82,Zach Galifianakis,0.475422,USA,m
1,82,Tom Kenny,0.12088388,USA,m
2,82,Kate Walsh,0.09166493,USA,f
0,83,Zach Galifianakis,0.3716169,USA,m
1,83,Tom Kenny,0.2642018,USA,m
2,83,Andrew Rannells,0.10710122,USA,m
0,84,Zach Galifianakis,0.8347173,USA,m
1,84,Tom Kenny,0.07464414,USA,m
2,84,Corbin Bleu,0.015036615,USA,m
0,85,Zach Galifianakis,0.9117198,USA,m
1,85,Tom Kenny,0.010829377,USA,m
2,85,Suraj Sharma,0.008152177,India,m
0,86,Zach Galifianakis,0.97651196,USA,m
1,86,Harry Connick Jr.,0.009496862,USA,m
2,86,Suraj Sharma,0.0018923073,India,m
0,87,Zach Galifianakis,0.95114475,USA,m
1,87,Harry Connick Jr.,0.023614528,USA,m
2,87,Kate Walsh,0.0043944386,USA,f
0,88,Zach Galifianakis,0.7829665,USA,m
1,88,Harry Connick Jr.,0.19490021,USA,m
2,88,Tom Kenny,0.0018880856,USA,m
0,89,Zach Galifianakis,0.44121203,USA,m
1,89,Harry Connick Jr.,0.1680727,USA,m
2,89,Kate Walsh,0.08771005,USA,f
0,90,David Cassidy,0.24234672,USA,m
1,90,Tim Minchin,0.093973406,Australia,m
2,90,Patrick Dempsey,0.069616765,USA,m
0,91,Tim Minchin,0.48640895,Australia,m
1,91,Aaron Tveit,0.21008539,USA,m
2,91,Brett Davern,0.06509507,USA,m
0,92,Steve Carell,0.4769921,USA,m
1,92,Tim Minchin,0.0675463,Australia,m
2,92,Aaron Tveit,0.049931142,USA,m
0,93,Steve Carell,0.7421311,USA,m
1,93,Jeremy Shada,0.051297273,USA,m
2,93,Manish Dayal,0.051187903,USA,m
0,94,Steve Carell,0.87934285,USA,m
1,94,Olivia Wilde,0.05518019,USA,f
2,94,Jon Huertas,0.008058129,USA,m
0,95,Steve Carell,0.92511743,USA,m
1,95,Olivia Wilde,0.023653705,USA,f
2,95,Brett Davern,0.013511643,USA,m
0,96,Steve Carell,0.98168683,USA,m
1,96,Rob Corddry,0.0031885114,USA,m
2,96,Lucas Grabeel,0.0023261756,USA,m
0,97,Steve Carell,0.9119916,USA,m
1,97,Mandy Patinkin,0.026382178,USA,m
